,total_loss,reconstruction_loss,kl-divergence,classification_loss,train_acc,prior_test,valid_acc,valid_mse,valid_class_loss
0,2912.296,2911.4915,0.07253028,0.7319185,0.48625,0.5,0.4845,2907.3938,0.7528036
1,2858.5234,2857.6428,0.13507156,0.7450036,0.5075,0.5,0.51149994,2851.5972,0.7526821
2,2800.325,2799.3938,0.1929298,0.73781455,0.5375,0.5,0.5174999,2793.1882,0.7460736
3,2741.5957,2740.6172,0.23970687,0.7388115,0.5275,0.5,0.5255,2732.1606,0.7432398
4,2677.0024,2675.9744,0.29447144,0.7335685,0.53625,0.5,0.5315,2666.515,0.7399945
5,2613.0088,2611.931,0.3453281,0.7325682,0.53125,0.5,0.519,2598.7922,0.74856615
6,2544.8499,2543.7139,0.39952695,0.73646253,0.53625,0.5,0.528,2531.7344,0.74508893
7,2473.933,2472.7402,0.45393226,0.73914766,0.54,0.5,0.52699995,2461.2395,0.74753034
8,2402.146,2400.9036,0.5047219,0.73713213,0.5425,0.5,0.5245,2390.6243,0.74696773
9,2331.1475,2329.8564,0.553425,0.73739755,0.5375,0.5,0.5265,2318.675,0.7471889
10,2260.5632,2259.225,0.60068697,0.7374725,0.54125,0.5,0.527,2248.3823,0.7458489
11,2189.4778,2188.1033,0.6427135,0.73187155,0.545,0.5,0.53000003,2179.2798,0.7439229
12,2121.6008,2120.186,0.6844899,0.73072106,0.54125,0.5,0.5299999,2112.6802,0.7426856
13,2052.7104,2051.2551,0.7218404,0.733536,0.5375,0.5,0.52700007,2048.7349,0.7431815
14,1989.1879,1987.7013,0.7536772,0.732665,0.54125,0.5,0.53150004,1984.6951,0.73970515
15,1927.111,1925.6038,0.7806791,0.7267093,0.5475,0.5,0.52699995,1926.9363,0.7389751
16,1869.104,1867.5798,0.79930353,0.72488075,0.54875,0.5,0.52849996,1869.8889,0.7365271
17,1812.9229,1811.3875,0.8134344,0.7221687,0.54875,0.5,0.5365,1817.3109,0.7316793
18,1760.9075,1759.3475,0.8362496,0.72423965,0.54375,0.5,0.5265,1766.0134,0.73181516
19,1709.823,1708.2642,0.8432152,0.71560264,0.545,0.5,0.5264999,1717.8864,0.7310349
20,1663.3796,1661.8071,0.85548884,0.7172353,0.54625,0.5,0.53900003,1670.5862,0.71984696
21,1617.7081,1616.1406,0.8577333,0.70997256,0.545,0.5,0.52549994,1628.3362,0.7235747
22,1576.0284,1574.432,0.87809074,0.7180439,0.53625,0.5,0.529,1585.746,0.7162853
23,1534.588,1532.9962,0.8803598,0.7106533,0.5475,0.5,0.53999996,1545.9835,0.70814425
24,1495.3936,1493.81,0.88506913,0.69840425,0.55,0.5,0.53400004,1509.7356,0.70365673
25,1459.1702,1457.5743,0.9014508,0.693819,0.54375,0.5,0.53650004,1472.3928,0.7000216
26,1422.4258,1420.831,0.90414625,0.69052064,0.55,0.5,0.53849995,1438.4623,0.6947575
27,1388.8186,1387.2136,0.91410756,0.69100535,0.54,0.5,0.53999996,1404.7583,0.68871796
28,1353.7086,1352.1311,0.8982533,0.6795036,0.54625,0.5,0.545,1372.5011,0.6757313
29,1322.825,1321.228,0.9181161,0.678837,0.54875,0.5,0.545,1342.1399,0.67528594
30,1292.5651,1290.9695,0.9236951,0.6718515,0.55625,0.5,0.547,1311.5262,0.6688959
31,1264.955,1263.3812,0.90548056,0.6683934,0.54625,0.5,0.552,1281.6362,0.6673843
32,1231.8732,1230.2968,0.9130509,0.66370505,0.565,0.5,0.557,1251.9622,0.65974706
33,1204.1207,1202.5513,0.9119995,0.6575272,0.56375,0.5,0.561,1226.9976,0.6527603
34,1177.9248,1176.355,0.9160612,0.65385866,0.5625,0.5,0.56350005,1198.8036,0.65147305
35,1150.707,1149.1364,0.9227116,0.6481446,0.565,0.5,0.583,1173.9169,0.6386352
36,1127.435,1125.8906,0.9044294,0.64013857,0.5775,0.5,0.58000004,1148.0696,0.6395643
37,1102.1885,1100.6443,0.906233,0.63815236,0.595,0.5,0.57699996,1123.6627,0.64434713
38,1076.8109,1075.2468,0.9175673,0.64629036,0.57125,0.5,0.61249995,1100.9655,0.62811625
39,1056.6798,1055.1406,0.9020431,0.6372516,0.59125,0.5,0.59499997,1078.544,0.6335021
40,1030.6804,1029.1522,0.8975573,0.6304057,0.61,0.5,0.62700003,1053.7837,0.6246382
41,1008.4939,1006.95386,0.9150266,0.625223,0.6225,0.5,0.6909999,1037.2855,0.60762817
42,985.0084,983.45807,0.9226118,0.6278361,0.63,0.5,0.697,1013.08136,0.6066009
43,965.02686,963.5197,0.890116,0.61716765,0.66875,0.5,0.655,990.2804,0.6198577
44,944.9863,943.44,0.92476547,0.6214712,0.65,0.5,0.7035,971.0596,0.60689616
45,923.05493,921.54083,0.89406943,0.62018263,0.66125,0.5,0.705,953.77136,0.600623
46,905.8323,904.3519,0.8744695,0.6058287,0.70375,0.5,0.7525,931.5049,0.59321886
47,884.7037,883.21014,0.8895274,0.6040604,0.72875,0.5,0.8075,911.60046,0.5841857
48,864.2813,862.79724,0.88537633,0.59869385,0.76875,0.5,0.79499996,893.1636,0.5828084
49,846.0268,844.55304,0.87894624,0.59486395,0.77,0.5,0.78550005,874.0055,0.5879114
50,829.18506,822.4169,0.86530054,0.5902942,0.76,0.5,0.798,850.68945,0.5793436
51,806.2617,799.53107,0.8677185,0.58630365,0.78125,0.5,0.80950004,828.757,0.5776979
52,784.1711,777.45374,0.8673697,0.5849869,0.77875,0.5,0.816,807.2513,0.57037723
53,763.4383,756.6923,0.8792833,0.58664054,0.7975,0.5,0.81900007,788.72546,0.5646868
54,743.74744,737.1049,0.86319906,0.57792735,0.80125,0.5,0.809,769.60504,0.5668403
55,724.4224,717.777,0.8423814,0.5803211,0.7825,0.5,0.8169999,751.81976,0.5622076
56,708.98517,702.3792,0.84940386,0.575637,0.80625,0.5,0.8129999,732.92224,0.5665914
57,688.99927,682.37976,0.8427433,0.57768154,0.795,0.5,0.82350004,718.16833,0.5561461
58,673.0489,666.53107,0.82305115,0.5694714,0.80875,0.5,0.831,697.3351,0.563482
59,656.8432,650.272,0.8290144,0.57420295,0.805,0.5,0.8295,683.24396,0.5562041
60,638.7959,632.3039,0.81613344,0.567586,0.81625,0.5,0.84,665.6245,0.5546082
61,626.4941,620.03125,0.8122933,0.56504214,0.82625,0.5,0.83550006,650.39404,0.5544361
62,607.1907,600.7723,0.7890761,0.56291914,0.805,0.5,0.838,635.1928,0.5484684
63,593.84534,587.4244,0.7913747,0.5629588,0.80625,0.5,0.8349999,624.2659,0.54150677
64,579.2928,572.8993,0.7870069,0.5606652,0.80375,0.5,0.83650005,608.27747,0.5492397
65,563.6244,557.263,0.78899676,0.5572464,0.80125,0.5,0.83900005,595.3767,0.5449449
66,550.6958,544.3742,0.7929795,0.5528603,0.8225,0.5,0.847,582.5335,0.53616637
67,540.4914,534.20264,0.789397,0.54993284,0.8175,0.5,0.8385,568.4442,0.5388525
68,526.26556,519.9743,0.78442407,0.5506827,0.81625,0.5,0.8450001,556.076,0.5390207
69,513.75085,507.51773,0.77805567,0.54551333,0.81625,0.5,0.8475,543.4883,0.5335232
70,503.12415,496.87833,0.7936235,0.54521227,0.8175,0.5,0.84300005,533.42896,0.5269819
71,491.65344,485.47122,0.77472407,0.5407556,0.82125,0.5,0.847,520.50464,0.528417
72,479.07297,472.85446,0.7963211,0.5422281,0.8175,0.5,0.8455,509.59894,0.52978635
73,469.4925,463.32983,0.7745947,0.5388097,0.81625,0.5,0.85200006,499.2105,0.52644074
74,456.41907,450.2803,0.7699013,0.5368777,0.8225,0.5,0.85249996,489.13876,0.52511716
75,450.73618,444.60947,0.7684231,0.5358418,0.825,0.5,0.8535,480.76556,0.51854557
76,439.82788,433.72586,0.77641463,0.53257257,0.83375,0.5,0.85200006,468.41153,0.52274114
77,427.349,421.24075,0.7768619,0.53313905,0.83375,0.5,0.85749996,460.705,0.5178987
78,417.0006,410.93384,0.7858827,0.52808994,0.83625,0.5,0.8625001,450.97528,0.51711607
79,408.83105,402.82718,0.75545675,0.524837,0.8425,0.5,0.86300004,441.68134,0.5120908
80,398.71912,392.74316,0.7732908,0.52026147,0.8525,0.5,0.86399996,434.6994,0.50687
81,394.42255,388.4897,0.7543163,0.517856,0.85375,0.5,0.8635,423.78067,0.50868666
82,383.58212,377.69785,0.741138,0.51430833,0.855,0.5,0.8659999,414.98846,0.5044643
83,375.52493,369.64594,0.7520118,0.5126979,0.8575,0.5,0.871,409.99203,0.49811658
84,367.71,361.88153,0.75340915,0.5075056,0.86125,0.5,0.86849993,401.3515,0.5024963
85,358.57056,352.70187,0.749612,0.51190734,0.86,0.5,0.8690001,391.75082,0.5009113
86,351.6359,345.82098,0.7459265,0.50690526,0.8575,0.5,0.87249994,385.4326,0.49492198
87,346.17245,340.3498,0.7421284,0.5080567,0.85375,0.5,0.86499995,376.02054,0.49954835
88,339.44638,333.65863,0.741479,0.5046324,0.8625,0.5,0.871,368.51007,0.49505123
89,329.14923,323.35934,0.7439363,0.50459296,0.86625,0.5,0.8755,363.86713,0.4931859
90,325.60593,319.82718,0.7431986,0.5035598,0.85875,0.5,0.8735,358.68747,0.49038276
91,318.76688,313.04202,0.7411347,0.4983792,0.8675,0.5,0.8735,348.27216,0.4899767
92,311.84113,306.1035,0.7402843,0.4997354,0.86,0.5,0.87249994,342.6406,0.4895031
93,306.7559,301.04926,0.7358331,0.49707982,0.865,0.5,0.87299997,337.52716,0.48367405
94,299.8557,294.1733,0.73125696,0.49512318,0.86375,0.5,0.87600005,331.10284,0.48726836
95,298.18344,292.48746,0.7271804,0.4968803,0.86375,0.5,0.87,323.52826,0.4848302
96,288.29126,282.61682,0.7285622,0.49458826,0.86625,0.5,0.87399995,317.99286,0.48367047
97,282.57922,276.968,0.72989935,0.48812973,0.87375,0.5,0.87249994,312.48492,0.48184213
98,275.45428,269.84534,0.72565955,0.48832583,0.86625,0.5,0.873,305.29297,0.4783495
99,271.35428,265.762,0.7165012,0.48758042,0.87375,0.5,0.87700003,300.47992,0.47565866
100,263.95532,258.3595,0.72205675,0.48738196,0.865,0.5,0.87299997,294.7016,0.47536272
101,261.25162,255.66042,0.7178961,0.48733407,0.86625,0.5,0.87399995,288.95856,0.47670802
102,253.72902,248.17438,0.7143604,0.48402974,0.8725,0.5,0.875,283.8691,0.4724422
103,249.89983,244.36412,0.71383876,0.48218632,0.86875,0.5,0.8755,277.48608,0.4711341
104,243.50816,238.00177,0.6996297,0.48067075,0.86875,0.5,0.87749994,274.0129,0.46746048
105,239.24269,233.75357,0.7071407,0.47819093,0.86875,0.5,0.8765,271.04898,0.47127762
106,235.75386,230.27118,0.7047783,0.47779068,0.87125,0.5,0.88150007,263.54663,0.46668774
107,231.10226,225.64522,0.711886,0.47451252,0.8725,0.5,0.8755,258.42877,0.46638218
108,224.99706,219.56876,0.6870106,0.4741291,0.87875,0.5,0.8809999,253.61292,0.46448463
109,221.0103,215.57477,0.69930184,0.47362435,0.87375,0.5,0.8809999,252.03995,0.4657429
110,218.92773,213.49872,0.6917386,0.47372857,0.87875,0.5,0.8809999,248.1136,0.4651834
111,214.64117,209.23691,0.70135474,0.47028914,0.88625,0.5,0.88149995,243.27356,0.46083885
