,total_loss,reconstruction_loss,kl-divergence,classification_loss,train_acc,prior_test,valid_acc,valid_mse,valid_class_loss
0,2912.4226,2911.6409,0.072915494,0.7081653,0.5,0.5,0.5,2906.7295,0.7079756
1,2857.797,2856.955,0.13468312,0.70780176,0.5,0.5,0.5,2850.5789,0.7075606
2,2801.9475,2801.0498,0.19010583,0.70735985,0.5,0.5,0.5,2791.9695,0.7069601
3,2741.3323,2740.3892,0.2362878,0.7063883,0.5,0.5,0.5,2731.575,0.7059667
4,2679.5142,2678.5166,0.29204598,0.705589,0.5,0.5,0.5,2666.848,0.7054237
5,2612.4373,2611.3914,0.34140804,0.7047364,0.5,0.5,0.5,2601.014,0.7044827
6,2545.1504,2544.0554,0.3916232,0.704116,0.5,0.5,0.5,2532.6375,0.7035421
7,2475.787,2474.6404,0.44401178,0.70304793,0.5,0.5,0.5,2462.7268,0.70257646
8,2403.6584,2402.4585,0.49739945,0.7020921,0.5,0.5,0.5,2392.121,0.7012175
9,2331.6907,2330.4436,0.54689014,0.70060724,0.5,0.5,0.5,2320.6094,0.7003005
10,2259.8423,2258.546,0.59694594,0.6988938,0.5,0.5,0.5,2250.1497,0.6989351
11,2189.719,2188.3777,0.6430018,0.6978815,0.5,0.5,0.5,2181.1624,0.6978658
12,2120.4578,2119.077,0.6845449,0.6964954,0.5,0.5,0.5,2113.9536,0.6965765
13,2053.6624,2052.2458,0.72171813,0.69501144,0.5,0.5,0.5,2047.9221,0.6953806
14,1989.0537,1987.6105,0.74978775,0.69398606,0.5,0.5,0.5,1984.9714,0.6939422
15,1927.8561,1926.3925,0.77108526,0.6923919,0.5,0.5,0.5,1926.8416,0.69336593
16,1869.1377,1867.654,0.7924907,0.69116265,0.5,0.5,0.5,1868.9974,0.6920008
17,1812.6764,1811.1747,0.8115561,0.6901844,0.5,0.5,0.5,1816.0828,0.69104195
18,1760.9764,1759.4574,0.829658,0.6892733,0.5,0.5,0.5,1764.7067,0.69015
19,1710.6652,1709.1349,0.84194046,0.6880485,0.5,0.5,0.49899998,1715.7571,0.69014627
20,1662.4385,1660.9012,0.8499824,0.6873656,0.5,0.5,0.5,1670.224,0.68872786
21,1618.029,1616.4764,0.86606497,0.6867791,0.51375,0.5,0.50899994,1627.3135,0.6871935
22,1573.1796,1571.6227,0.87177056,0.6851874,0.52625,0.5,0.517,1585.1113,0.6874853
23,1533.1829,1531.6183,0.88005006,0.68416137,0.54375,0.5,0.53849995,1546.5548,0.68833965
24,1494.318,1492.7479,0.8859526,0.6834866,0.5475,0.5,0.529,1506.411,0.6860096
25,1457.9246,1456.3372,0.9046484,0.6830264,0.53875,0.5,0.515,1470.228,0.6856464
26,1420.7208,1419.1553,0.8856581,0.6801243,0.555,0.5,0.5035,1435.8297,0.68501097
27,1387.1406,1385.5552,0.9057317,0.68009114,0.5375,0.5,0.50549996,1403.0261,0.6842176
28,1351.968,1350.3851,0.9037178,0.6793733,0.5325,0.5,0.518,1369.8494,0.6818291
29,1323.476,1321.8892,0.90896654,0.6777182,0.55375,0.5,0.51100004,1338.4843,0.68346953
30,1291.3534,1289.7659,0.90984344,0.67777604,0.545,0.5,0.52199996,1308.7732,0.6806401
31,1261.2024,1259.6117,0.9148097,0.6758188,0.55625,0.5,0.526,1280.2086,0.67870855
32,1230.1432,1228.5483,0.92017865,0.6746338,0.56375,0.5,0.5485,1250.8167,0.6775068
33,1205.5017,1203.9076,0.92126036,0.6731354,0.5725,0.5,0.551,1224.9304,0.6780897
34,1176.7843,1175.21,0.9026064,0.6718053,0.58125,0.5,0.566,1197.5326,0.67540276
35,1151.2129,1149.643,0.90068,0.6692243,0.605,0.5,0.60550004,1171.6881,0.6701182
36,1124.327,1122.7386,0.9184683,0.6702595,0.605,0.5,0.60450006,1148.2063,0.67248255
37,1099.2496,1097.6577,0.92707,0.66498023,0.64375,0.5,0.617,1121.8582,0.6699495
38,1076.5442,1074.9689,0.90886587,0.6661715,0.65125,0.5,0.652,1098.9275,0.6642221
39,1053.1073,1051.5231,0.9201178,0.66406024,0.6475,0.5,0.65500003,1075.3639,0.6645001
40,1030.7339,1029.1681,0.90475184,0.6612135,0.66625,0.5,0.66099995,1053.4521,0.66199446
41,1005.9154,1004.37024,0.889497,0.6556836,0.68125,0.5,0.672,1032.9487,0.66086626
42,983.4304,981.899,0.87540746,0.65589595,0.6825,0.5,0.677,1009.1406,0.6560995
43,963.34064,961.7732,0.91345114,0.6540048,0.695,0.5,0.704,989.04266,0.65209854
44,943.56366,942.03125,0.8825752,0.65003145,0.6975,0.5,0.7440001,971.79285,0.6447681
45,922.4606,920.9187,0.89754164,0.6443653,0.7275,0.5,0.671,948.2543,0.6534407
46,901.9193,900.39825,0.8791119,0.6417594,0.71875,0.5,0.6845,929.85284,0.6457154
47,881.2874,879.764,0.88635933,0.63718617,0.72375,0.5,0.72999996,910.45154,0.63595974
48,865.40674,863.89514,0.8772329,0.63441485,0.7275,0.5,0.74950004,892.62854,0.6312285
49,846.68896,845.1881,0.87062675,0.6299728,0.735,0.5,0.748,874.6587,0.6272435
50,887.2869,824.1264,0.8609333,0.6229998,0.75,0.5,0.774,851.2539,0.61749786
51,860.8616,798.4894,0.86356324,0.61508673,0.7675,0.5,0.811,829.18915,0.6096033
52,841.1116,779.3127,0.8585172,0.6094032,0.78125,0.5,0.7765,809.7754,0.60776436
53,818.75214,757.34424,0.8508259,0.6055717,0.7775,0.5,0.8035,788.7201,0.599666
54,799.01294,737.9666,0.8557766,0.60190564,0.785,0.5,0.765,769.8666,0.59935385
55,777.63165,717.28296,0.8391009,0.5950954,0.79125,0.5,0.8405,754.35236,0.5881151
56,760.7759,700.94617,0.8331011,0.5899666,0.82,0.5,0.822,730.4271,0.58625144
57,743.51404,683.9515,0.81893164,0.58743566,0.81625,0.5,0.8455,717.7006,0.58232015
58,722.1639,663.19836,0.8159393,0.5814955,0.81875,0.5,0.842,698.16345,0.57667696
59,707.6713,649.306,0.81493413,0.5755024,0.8375,0.5,0.84499997,681.6182,0.57301193
60,691.14764,632.90405,0.82869154,0.57414895,0.8375,0.5,0.85300004,666.55615,0.568407
61,674.06256,616.53033,0.8314005,0.5670089,0.8525,0.5,0.8535,650.59406,0.561376
62,655.79596,598.6267,0.82659477,0.5634266,0.86125,0.5,0.8655,635.6769,0.56044036
63,644.9837,587.99915,0.81638503,0.561681,0.86875,0.5,0.84950006,620.211,0.5588267
64,631.5788,574.8561,0.81459546,0.5590822,0.86875,0.5,0.88,606.3036,0.55104136
65,614.4423,558.37115,0.8197337,0.5525143,0.875,0.5,0.9005,596.8012,0.5422195
66,601.3457,545.46497,0.8029175,0.55077755,0.8875,0.5,0.87950003,580.7626,0.54598904
67,588.6057,532.9622,0.8307073,0.54812735,0.875,0.5,0.89800006,571.5917,0.53577596
68,576.2381,520.9188,0.828697,0.5449066,0.87375,0.5,0.89,557.06836,0.53768426
69,566.51544,511.60446,0.8126657,0.5409822,0.885,0.5,0.87049997,547.5748,0.54185826
70,553.61127,498.87167,0.81719154,0.539223,0.8875,0.5,0.9,532.24695,0.53040135
71,542.46747,487.99442,0.8080922,0.5366509,0.895,0.5,0.90199995,520.98083,0.5310807
72,530.45654,476.3269,0.80112857,0.5332838,0.89625,0.5,0.896,512.41174,0.5284333
73,518.2957,464.43732,0.7975126,0.53060824,0.90375,0.5,0.90699995,501.5196,0.5225668
74,507.31036,453.8217,0.78665733,0.52702105,0.89625,0.5,0.8985001,491.2077,0.5236
75,495.92923,442.69336,0.7936165,0.52442205,0.8975,0.5,0.90199995,482.77768,0.5176208
76,489.65488,436.27344,0.76096654,0.5262062,0.895,0.5,0.89750004,470.11435,0.51969326
77,476.60562,423.84265,0.7873312,0.5197569,0.8925,0.5,0.90049994,461.27887,0.51543826
78,466.91504,414.69833,0.77504176,0.51441664,0.9025,0.5,0.90599996,452.39874,0.5084862
79,457.83124,405.77777,0.77798676,0.5127543,0.90125,0.5,0.90199995,443.01447,0.5071112
80,449.8096,397.89587,0.75890356,0.51154876,0.9025,0.5,0.90699995,432.23737,0.5054141
81,440.70172,389.006,0.7547987,0.5094096,0.90125,0.5,0.9045,423.90073,0.5058097
82,429.36096,378.10388,0.7674202,0.5048964,0.90125,0.5,0.9025,419.7352,0.49884647
83,423.8934,372.70407,0.7454824,0.50443864,0.90375,0.5,0.9025,405.5788,0.5019616
84,416.12796,364.9739,0.749676,0.50404453,0.89625,0.5,0.903,399.0771,0.4959406
85,405.49133,354.80585,0.75790507,0.499276,0.9,0.5,0.90349996,393.5108,0.4961947
86,400.0695,349.52194,0.7713934,0.49776062,0.9075,0.5,0.9085,385.0429,0.4918952
87,391.82266,341.48886,0.7560969,0.49577704,0.90375,0.5,0.9014999,377.60077,0.49221006
88,381.76074,331.84317,0.75107676,0.49166492,0.915,0.5,0.90500003,369.91522,0.4870669
