,total_loss,reconstruction_loss,kl-divergence,classification_loss,train_acc,prior_test,valid_acc,valid_mse,valid_class_loss
0,2912.296,2911.4915,0.07253028,0.7319185,0.48625,0.5,0.4845,2907.3938,0.7528036
1,2858.5234,2857.6428,0.13507156,0.7450036,0.5075,0.5,0.51149994,2851.5972,0.7526821
2,2800.325,2799.3938,0.1929298,0.73781455,0.5375,0.5,0.5174999,2793.1882,0.7460736
3,2741.5957,2740.6172,0.23970687,0.7388115,0.5275,0.5,0.5255,2732.1606,0.7432398
4,2677.0024,2675.9744,0.29447144,0.7335685,0.53625,0.5,0.5315,2666.515,0.7399945
5,2613.0088,2611.931,0.3453281,0.7325682,0.53125,0.5,0.519,2598.7922,0.74856615
6,2544.8499,2543.7139,0.39952695,0.73646253,0.53625,0.5,0.528,2531.7344,0.74508893
7,2473.933,2472.7402,0.45393226,0.73914766,0.54,0.5,0.52699995,2461.2395,0.74753034
8,2402.146,2400.9036,0.5047219,0.73713213,0.5425,0.5,0.5245,2390.6243,0.74696773
9,2331.1475,2329.8564,0.553425,0.73739755,0.5375,0.5,0.5265,2318.675,0.7471889
10,2260.5632,2259.225,0.60068697,0.7374725,0.54125,0.5,0.527,2248.3823,0.7458489
11,2189.4778,2188.1033,0.6427135,0.73187155,0.545,0.5,0.53000003,2179.2798,0.7439229
12,2121.6008,2120.186,0.6844899,0.73072106,0.54125,0.5,0.5299999,2112.6802,0.7426856
13,2052.7104,2051.2551,0.7218404,0.733536,0.5375,0.5,0.52700007,2048.7349,0.7431815
14,1989.1879,1987.7013,0.7536772,0.732665,0.54125,0.5,0.53150004,1984.6951,0.73970515
15,1927.111,1925.6038,0.7806791,0.7267093,0.5475,0.5,0.52699995,1926.9363,0.7389751
16,1869.104,1867.5798,0.79930353,0.72488075,0.54875,0.5,0.52849996,1869.8889,0.7365271
17,1812.9229,1811.3875,0.8134344,0.7221687,0.54875,0.5,0.5365,1817.3109,0.7316793
18,1760.9075,1759.3475,0.8362496,0.72423965,0.54375,0.5,0.5265,1766.0134,0.73181516
19,1709.823,1708.2642,0.8432152,0.71560264,0.545,0.5,0.5264999,1717.8864,0.7310349
20,1663.3796,1661.8071,0.85548884,0.7172353,0.54625,0.5,0.53900003,1670.5862,0.71984696
21,1617.7081,1616.1406,0.8577333,0.70997256,0.545,0.5,0.52549994,1628.3362,0.7235747
22,1576.0284,1574.432,0.87809074,0.7180439,0.53625,0.5,0.529,1585.746,0.7162853
23,1534.588,1532.9962,0.8803598,0.7106533,0.5475,0.5,0.53999996,1545.9835,0.70814425
24,1495.3936,1493.81,0.88506913,0.69840425,0.55,0.5,0.53400004,1509.7356,0.70365673
25,1459.1702,1457.5743,0.9014508,0.693819,0.54375,0.5,0.53650004,1472.3928,0.7000216
26,1422.4258,1420.831,0.90414625,0.69052064,0.55,0.5,0.53849995,1438.4623,0.6947575
27,1388.8186,1387.2136,0.91410756,0.69100535,0.54,0.5,0.53999996,1404.7583,0.68871796
28,1353.7086,1352.1311,0.8982533,0.6795036,0.54625,0.5,0.545,1372.5011,0.6757313
29,1322.825,1321.228,0.9181161,0.678837,0.54875,0.5,0.545,1342.1399,0.67528594
30,1292.5651,1290.9695,0.9236951,0.6718515,0.55625,0.5,0.547,1311.5262,0.6688959
31,1264.955,1263.3812,0.90548056,0.6683934,0.54625,0.5,0.552,1281.6362,0.6673843
32,1231.8732,1230.2968,0.9130509,0.66370505,0.565,0.5,0.557,1251.9622,0.65974706
33,1204.1207,1202.5513,0.9119995,0.6575272,0.56375,0.5,0.561,1226.9976,0.6527603
34,1177.9248,1176.355,0.9160612,0.65385866,0.5625,0.5,0.56350005,1198.8036,0.65147305
35,1150.707,1149.1364,0.9227116,0.6481446,0.565,0.5,0.583,1173.9169,0.6386352
36,1127.435,1125.8906,0.9044294,0.64013857,0.5775,0.5,0.58000004,1148.0696,0.6395643
37,1102.1885,1100.6443,0.906233,0.63815236,0.595,0.5,0.57699996,1123.6627,0.64434713
38,1076.8109,1075.2468,0.9175673,0.64629036,0.57125,0.5,0.61249995,1100.9655,0.62811625
39,1056.6798,1055.1406,0.9020431,0.6372516,0.59125,0.5,0.59499997,1078.544,0.6335021
40,1030.6804,1029.1522,0.8975573,0.6304057,0.61,0.5,0.62700003,1053.7837,0.6246382
41,1008.4939,1006.95386,0.9150266,0.625223,0.6225,0.5,0.6909999,1037.2855,0.60762817
42,985.0084,983.45807,0.9226118,0.6278361,0.63,0.5,0.697,1013.08136,0.6066009
43,965.02686,963.5197,0.890116,0.61716765,0.66875,0.5,0.655,990.2804,0.6198577
44,944.9863,943.44,0.92476547,0.6214712,0.65,0.5,0.7035,971.0596,0.60689616
45,923.05493,921.54083,0.89406943,0.62018263,0.66125,0.5,0.705,953.77136,0.600623
46,905.8323,904.3519,0.8744695,0.6058287,0.70375,0.5,0.7525,931.5049,0.59321886
47,884.7037,883.21014,0.8895274,0.6040604,0.72875,0.5,0.8075,911.60046,0.5841857
48,864.2813,862.79724,0.88537633,0.59869385,0.76875,0.5,0.79499996,893.1636,0.5828084
49,846.0268,844.55304,0.87894624,0.59486395,0.77,0.5,0.78550005,874.0055,0.5879114
50,823.88135,822.4249,0.8648916,0.5916198,0.755,0.5,0.796,850.637,0.5818594
51,800.9891,799.53394,0.86617106,0.5891241,0.77875,0.5,0.8015,828.7132,0.58072835
52,778.9045,777.45087,0.8655929,0.5880368,0.7725,0.5,0.8119999,807.155,0.5737096
53,758.15173,756.6839,0.8774354,0.5901123,0.78625,0.5,0.81049997,788.63885,0.56861204
54,738.52313,737.0804,0.86018217,0.58263487,0.79625,0.5,0.7990001,769.6008,0.57269925
55,719.1674,717.74396,0.8375853,0.5857802,0.77,0.5,0.812,751.7307,0.5688517
56,703.7707,702.345,0.84355444,0.58203435,0.79375,0.5,0.80600005,732.9534,0.57488793
57,683.6951,682.2746,0.8354405,0.58504003,0.79125,0.5,0.8205,718.09326,0.56441355
58,667.67737,666.2876,0.8142542,0.57564324,0.80625,0.5,0.82299995,697.23346,0.5698261
59,651.36816,649.9669,0.8227188,0.5785997,0.80375,0.5,0.8325,683.0411,0.5603117
60,633.364,631.98193,0.81225693,0.5697939,0.81875,0.5,0.83549994,665.6743,0.557848
61,621.3962,620.017,0.8127127,0.56652474,0.82875,0.5,0.8385,650.6698,0.55485886
62,602.2291,600.87714,0.7884042,0.56357557,0.81125,0.5,0.83950007,635.3726,0.5506453
63,588.8784,587.5245,0.7888751,0.56509405,0.805,0.5,0.834,624.3204,0.5442562
64,574.3564,573.0087,0.7840092,0.5634523,0.8,0.5,0.8349999,608.36993,0.55254453
65,558.6986,557.3526,0.78563064,0.56046647,0.79625,0.5,0.8375,595.47345,0.54850054
66,545.8309,544.48474,0.78976166,0.5564351,0.81875,0.5,0.84400004,582.59576,0.53989375
67,535.5869,534.2474,0.7857843,0.55378854,0.81125,0.5,0.83550006,568.5685,0.5432777
68,521.41626,520.08136,0.78009295,0.5549354,0.81,0.5,0.8410001,556.2281,0.5443215
69,508.98856,507.66467,0.77340925,0.55041265,0.80875,0.5,0.84449995,543.6624,0.5390577
70,498.33438,496.99515,0.78868073,0.550509,0.815,0.5,0.842,533.5651,0.532402
71,486.8771,485.56177,0.76975983,0.5454804,0.82625,0.5,0.8460001,520.70966,0.5343977
72,474.31784,472.98038,0.7896491,0.54775953,0.8175,0.5,0.84450006,509.87436,0.5367881
73,464.73956,463.4282,0.76664644,0.5447127,0.81625,0.5,0.849,499.50293,0.53402466
74,451.58664,450.28152,0.7616547,0.5434803,0.82375,0.5,0.85,489.21796,0.5329541
75,445.64743,444.34692,0.7586869,0.54186,0.82875,0.5,0.85550004,480.4144,0.52543813
76,434.74097,433.4348,0.7691528,0.5370394,0.8425,0.5,0.85300004,468.4869,0.52819663
77,422.46075,421.15164,0.7724008,0.53665507,0.83375,0.5,0.859,460.63565,0.5227323
78,412.09918,410.78278,0.78466094,0.5315668,0.84125,0.5,0.86450005,451.02115,0.52119964
79,403.92242,402.63928,0.7560283,0.52722174,0.84625,0.5,0.8625,441.75845,0.5150606
80,393.8996,392.60214,0.77491426,0.5225046,0.85625,0.5,0.86349994,434.6858,0.5095596
81,389.87274,388.59552,0.7566398,0.52047396,0.855,0.5,0.8630001,423.93335,0.5116506
82,379.05106,377.79114,0.7432235,0.5167115,0.855,0.5,0.8669999,415.20856,0.5066562
83,371.14636,369.87775,0.7542829,0.51437145,0.855,0.5,0.871,410.12436,0.49983755
84,363.28394,362.02106,0.7539277,0.5089798,0.86125,0.5,0.86899996,401.57147,0.50451136
85,354.15393,352.89157,0.7485657,0.51388437,0.85875,0.5,0.86850005,391.94962,0.5032822
86,347.23798,345.984,0.7447349,0.5091843,0.8575,0.5,0.8715,385.6092,0.49738184
87,341.765,340.51422,0.7400817,0.51063216,0.855,0.5,0.864,376.2404,0.5022162
88,335.07794,333.8309,0.7398369,0.50716656,0.8625,0.5,0.871,368.70767,0.4978307
89,324.7974,323.54788,0.7422272,0.5073323,0.865,0.5,0.8745,364.03873,0.49593624
90,321.28625,320.0386,0.74133486,0.50631195,0.86,0.5,0.8735,358.8747,0.4931616
91,314.4489,313.2084,0.7392801,0.50117886,0.8675,0.5,0.87299997,348.49268,0.49282497
92,307.52112,306.28024,0.7383211,0.5025061,0.85875,0.5,0.87249994,342.85406,0.49238253
93,302.4696,301.2358,0.73382133,0.4999931,0.8625,0.5,0.87299997,337.73056,0.48628274
94,295.59393,294.3666,0.7293072,0.4979734,0.86625,0.5,0.8755,331.31992,0.4902733
95,293.92175,292.69632,0.7254427,0.5000788,0.8625,0.5,0.87,323.78168,0.48774853
96,284.08948,282.86505,0.7268077,0.49763247,0.86625,0.5,0.8744999,318.22208,0.48657918
97,278.36554,277.14618,0.7280799,0.49122792,0.87375,0.5,0.87200004,312.74744,0.4849952
98,271.28964,270.07474,0.7235592,0.4914114,0.86375,0.5,0.873,305.56036,0.4812375
99,267.1934,265.98853,0.71434724,0.4905323,0.87375,0.5,0.87700003,300.7754,0.4784084
100,259.8129,258.60257,0.7200787,0.49026603,0.865,0.5,0.87299997,294.96313,0.4782179
101,257.11505,255.90898,0.71575236,0.49032596,0.865,0.5,0.8745,289.2484,0.47962722
102,249.61035,248.41093,0.7123377,0.48705593,0.8725,0.5,0.875,284.10187,0.47527856
103,245.80304,244.6064,0.7115497,0.485129,0.8675,0.5,0.875,277.72015,0.47399482
104,239.42259,238.24155,0.69734937,0.48371398,0.86875,0.5,0.87749994,274.24707,0.47010893
105,235.14009,233.9541,0.70505255,0.48096347,0.86875,0.5,0.8765,271.30157,0.47418183
106,231.66855,230.48544,0.70241386,0.48076034,0.87125,0.5,0.883,263.774,0.46939796
107,227.00864,225.8218,0.7094961,0.4773476,0.87,0.5,0.87600005,258.6276,0.4691432
108,220.9248,219.76295,0.68474245,0.47710246,0.8775,0.5,0.8805,253.80733,0.46724996
109,216.93748,215.76398,0.6969784,0.47652465,0.87375,0.5,0.88049996,252.2568,0.46855363
110,214.82289,213.6568,0.6893908,0.47668797,0.8775,0.5,0.88049996,248.30473,0.46800947
111,210.58336,209.41101,0.6990768,0.47322413,0.885,0.5,0.8805,243.41296,0.46367955
