,Encoder Architecture,Classifier Architecture,Classifier Weight,R Squared,F1-Score,Accuracy,RSA,kl-divergence,Cross Entropy Loss,MSE,latent_cov,Seed
0,Linear,Linear,0,0.9999093498466992,0.0,0.5,0.9487943586197982,0.12107695579528809,0.6931473016738892,0.10732940584421158,[13.29042175 -2.04896584],0
1,Linear,Linear,1,0.999902094266804,0.9801980198019802,0.98,0.9473719799499637,0.12126712799072266,0.3617614507675171,0.11662943661212921,[13.37534239 -1.98913952],0
2,Linear,Linear,10,0.9999035222984459,0.9850746268656716,0.985,0.9385040493971579,0.12331433296203613,0.34368574619293213,0.1157330796122551,[13.83762886 -1.67207077],0
3,Linear,Linear,100,0.9998955484140208,0.98,0.98,0.8617312108745723,0.14379958152770997,0.33793842792510986,0.12478310614824295,[18.27865311  1.41350723],0
4,Linear,Linear,500,0.9997521861254998,0.9850746268656716,0.985,0.8192384662788397,0.17031877517700195,0.3352647125720978,0.26358792185783386,[22.26407841  4.0365987 ],0
5,Linear,Linear,1,-1.246554113290645,0.9552238805970149,0.955,0.24408480142275443,0.0063336026668548585,0.38726863265037537,2940.0234375,[1.28268256 0.0686879 ],0
6,Linear,Non-Linear,0,0.9998971260204373,0.0,0.5,0.9490230909346105,0.12064854621887207,0.6931473016738892,0.12990154325962067,[12.87162525 -2.52977649],0
7,Linear,Non-Linear,1,0.9998969388489185,0.98,0.98,0.9484775771655238,0.12072465896606445,0.3615041673183441,0.1300750970840454,[12.90763592 -2.50563961],0
8,Linear,Non-Linear,10,0.9998933087759079,0.99,0.99,0.944345820587981,0.12184247970581055,0.33395272493362427,0.13172511756420135,[13.34935663 -2.31801986],0
9,Linear,Non-Linear,100,0.9998965860084992,0.99,0.99,0.9028722895584813,0.13793891906738281,0.33120372891426086,0.13112086057662964,[17.96217786 -0.48562052],0
10,Linear,Non-Linear,500,0.9997751733321598,0.99,0.99,0.860187789269894,0.18059412002563477,0.33073294162750244,0.27152082324028015,[26.75328856  2.36780491],0
11,Linear,Non-Linear,1,-1.2465541132906444,0.9108910891089109,0.91,0.23270211445742128,0.0056667977571487425,0.3987062871456146,2940.0234375,[0.88531493 0.06902141],0
12,Non-Linear,Linear,0,0.9981972578277499,0.0,0.5,0.9777344909211313,0.05044066905975342,0.6931473016738892,1.9206386804580688,[2.87061786 0.11831774],0
13,Non-Linear,Linear,1,0.9981959902673981,0.9797979797979798,0.98,0.9737217709068486,0.05053308963775635,0.3673327565193176,1.9158847332000732,[2.9012174  0.07655286],0
14,Non-Linear,Linear,10,0.9982054343936675,0.9746192893401014,0.975,0.9502646636313999,0.051169824600219724,0.3421820104122162,1.9013820886611938,[ 3.03976112 -0.12092509],0
15,Non-Linear,Linear,100,0.9979813317269204,0.9849246231155778,0.985,0.7529328796709254,0.05988119125366211,0.3325248062610626,2.3143975734710693,[ 3.84028623 -1.73396027],0
16,Non-Linear,Linear,500,0.9960827866175082,0.99,0.99,0.6070160985842981,0.08475468635559082,0.3301037847995758,4.124048233032227,[ 6.62457461 -5.29886313],0
17,Non-Linear,Linear,1,-1.246554113290645,0.96,0.96,0.2040671516198679,0.0052964514493942265,0.3786422312259674,2940.0234375,[ 0.98616307 -0.05711217],0
18,Non-Linear,Non-Linear,0,0.9982406204390122,0.0,0.5,0.9761833155156355,0.05017951011657715,0.6931473016738892,1.9032844305038452,[2.84995578 0.09077541],0
19,Non-Linear,Non-Linear,1,0.9982384141920662,0.9797979797979798,0.98,0.9748274796931149,0.05021311283111572,0.34741294384002686,1.9039019346237183,[2.85764148 0.07578359],0
20,Non-Linear,Non-Linear,10,0.9982146644479063,0.9849246231155778,0.985,0.9721093314462403,0.050309214591979984,0.33600136637687683,1.9267489910125732,[2.86611943 0.039355  ],0
21,Non-Linear,Non-Linear,100,0.997229159252027,0.99,0.99,0.9227044799880252,0.05256589889526367,0.32785969972610474,3.066166400909424,[ 3.08090305 -0.35826416],0
22,Non-Linear,Non-Linear,500,0.996443542784109,0.9850746268656716,0.985,0.7815152391753108,0.0616569709777832,0.3285973370075226,3.977597713470459,[ 3.65978928 -1.1410238 ],0
23,Non-Linear,Non-Linear,1,-1.246554113290645,0.9696969696969697,0.97,0.21543463481210084,0.005266608595848083,0.3590353727340698,2940.0234375,[1.08298730e+00 5.27663603e-04],0
