,total_loss,reconstruction_loss,kl-divergence,classification_loss,train_acc,prior_test,valid_acc,valid_mse,valid_class_loss
0,272487800.0,272098720.0,389128.72,0.6986593,0.4225,0.5,0.4455,36851380.0,0.6688546
1,37217816.0,37152964.0,64849.89,0.6808888,0.4375,0.5,0.475,24959940.0,0.6615033
2,17017720.0,16977788.0,39931.098,0.6810872,0.485,0.5,0.52650005,19497886.0,0.65565336
3,21796874.0,21771376.0,25495.41,0.67473,0.53875,0.5,0.5785,10559565.0,0.65290725
4,9352593.0,9334349.0,18242.555,0.66533357,0.5925,0.5,0.62000006,11022044.0,0.6475646
5,7298686.5,7284053.0,14633.072,0.6589624,0.6225,0.5,0.6405,7201669.5,0.64201516
6,7995581.0,7983895.0,11683.173,0.66546094,0.59125,0.5,0.638,5195462.5,0.6409698
7,6956619.0,6947678.5,8940.365,0.6604965,0.5975,0.5,0.64350003,4528404.5,0.6343567
8,3474961.2,3467681.2,7279.6514,0.657071,0.60375,0.5,0.64699996,4198284.0,0.631439
9,3515729.0,3509229.8,6498.2515,0.6476187,0.605,0.5,0.64750004,3267558.5,0.62986326
10,4006313.5,4000667.2,5646.511,0.6528817,0.5875,0.5,0.63900006,3362729.2,0.6280864
11,3103564.8,3098761.5,4803.0693,0.63979155,0.59125,0.5,0.6375,2353842.0,0.625716
12,1507567.9,1503258.8,4308.8364,0.63500047,0.61125,0.5,0.6415,2239588.5,0.6204473
13,1819110.5,1815110.8,3999.403,0.64020276,0.5975,0.5,0.653,2074696.2,0.6167113
14,1877243.6,1873580.6,3662.0483,0.6292622,0.605,0.5,0.649,2211345.5,0.6175941
15,1594932.4,1591583.0,3348.7,0.634824,0.60625,0.5,0.642,2101226.8,0.6160335
16,2214321.5,2211277.2,3044.1326,0.63551545,0.60875,0.5,0.65349996,2140644.2,0.6138148
17,1703684.5,1700941.1,2742.7832,0.6267714,0.61375,0.5,0.6585,1382587.9,0.60847723
18,1450931.4,1448453.6,2476.9644,0.6189685,0.63,0.5,0.65449995,1484031.9,0.6113225
19,1228863.9,1226566.0,2297.2156,0.62195134,0.61125,0.5,0.67300004,999825.0,0.6036352
20,1177778.4,1175640.1,2137.3708,0.6174914,0.6275,0.5,0.67800003,1118789.9,0.6005638
