,total_loss,reconstruction_loss,kl-divergence,classification_loss,train_acc,prior_test,valid_acc,valid_mse,valid_class_loss
0,2250.385,2245.7688,3.7733414,0.8426836,0.36,0.5,0.36200002,2093.3794,0.844248
1,1003.57935,1001.8092,0.94580597,0.82435143,0.3575,0.5,0.355,942.8029,0.8313826
2,745.5885,744.20734,0.5851093,0.7958523,0.4075,0.5,0.3975,732.51953,0.7957858
3,684.8375,683.61865,0.43920076,0.77962875,0.425,0.5,0.39599997,760.7819,0.7916837
4,686.2728,685.1694,0.31367752,0.78975624,0.40875,0.5,0.41950002,660.1247,0.7743378
5,600.7161,599.7095,0.24559642,0.7609387,0.455,0.5,0.43399996,574.0693,0.7653116
6,548.4628,547.51624,0.1936821,0.7529274,0.465,0.5,0.45049995,552.35834,0.75403833
7,520.306,519.39844,0.16114973,0.74650323,0.47,0.5,0.4625,530.80115,0.7453445
8,507.99963,507.12808,0.14030473,0.731226,0.49375,0.5,0.46900004,510.477,0.7411437
9,515.5944,514.7174,0.123190425,0.7537654,0.445,0.5,0.47649997,505.248,0.728075
10,493.8412,493.01102,0.10561586,0.724602,0.475,0.5,0.498,499.55777,0.72885954
11,479.8814,479.06,0.093651116,0.72767586,0.49875,0.5,0.5075,479.88217,0.7194678
12,469.31888,468.51086,0.08391349,0.7240352,0.5025,0.5,0.48499998,473.0936,0.73126274
13,463.28043,462.48022,0.076792,0.72340286,0.49125,0.5,0.51,467.39273,0.7256228
14,454.13025,453.3295,0.072299734,0.7285177,0.51875,0.5,0.51750004,463.24463,0.71911997
15,459.4556,458.6674,0.0683523,0.71988565,0.5175,0.5,0.521,455.60263,0.7100604
16,454.07028,453.30478,0.06414046,0.7014239,0.5525,0.5,0.52700007,450.52335,0.7153842
17,438.46152,437.6848,0.061278973,0.7153702,0.51,0.5,0.52400005,444.53043,0.70953363
18,433.31796,432.5492,0.061282516,0.70742744,0.52875,0.5,0.5305,442.3581,0.7090893
19,440.1222,439.35706,0.06021353,0.70485723,0.5425,0.5,0.54499996,435.159,0.6982309
20,430.9831,430.23007,0.05879419,0.6941469,0.55625,0.5,0.54199994,433.72452,0.70676297
21,431.48526,430.72934,0.057961516,0.6980204,0.53875,0.5,0.56,429.63974,0.69577354
22,419.60913,418.86145,0.05945922,0.6882592,0.56375,0.5,0.55499995,425.4991,0.6970502
23,424.97888,424.22327,0.05999435,0.6956812,0.55625,0.5,0.554,423.7369,0.69250697
24,414.1752,413.42853,0.060004693,0.68667597,0.54625,0.5,0.55450004,420.06122,0.68856883
25,408.9622,408.20868,0.061084107,0.69248873,0.545,0.5,0.552,415.77142,0.68999094
26,410.47055,409.71567,0.06193667,0.69296014,0.555,0.5,0.55899996,414.96265,0.687041
27,406.44095,405.6922,0.06389747,0.68486243,0.55,0.5,0.5615,412.7536,0.6845733
28,401.74734,400.9946,0.063998096,0.6887377,0.535,0.5,0.565,406.52527,0.6849405
29,401.93542,401.18103,0.06586002,0.6885502,0.55875,0.5,0.56549996,406.0269,0.6742949
30,399.0943,398.35785,0.06618835,0.6703461,0.57125,0.5,0.56000006,402.2481,0.67528075
31,397.98712,397.24304,0.06934065,0.6747447,0.5775,0.5,0.563,398.92776,0.6719471
32,388.3411,387.599,0.07152591,0.67057663,0.56625,0.5,0.5685,394.13303,0.6699867
33,388.33905,387.59915,0.0749944,0.6648943,0.565,0.5,0.5735,394.09274,0.66699374
34,386.0643,385.32172,0.07846875,0.66412425,0.5775,0.5,0.566,388.73297,0.6654278
35,386.41528,385.67102,0.07843287,0.66578984,0.57125,0.5,0.57049996,386.5074,0.660687
36,378.28812,377.54672,0.08080687,0.6605385,0.5675,0.5,0.56700003,383.05695,0.65930307
